[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 1
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 1, 0] → Final: 1 | Target: 0
[Decision] Step Predictions: [0, 0, 0, 0] → Final: 0 | Target: 0
